Target,Model,Condition,N_paired,ΔMAE (RAG-Base),ΔRMSE (RAG-Base),ΔPearson_r (RAG-Base),ΔSpearman_rho (RAG-Base)
label_ideology,Llama-3.1-8B-Instruct,bge/hyde,774,-0.5351,-0.6284,0.0882,0.0089
label_ideology,Llama-3.1-8B-Instruct,bge/hyde_hybrid,775,-0.5431,-0.639,0.085,-0.0012
label_ideology,Llama-3.1-8B-Instruct,bge/simple,775,-0.5612,-0.6614,0.1083,0.0392
label_ideology,Llama-3.1-8B-Instruct,bge/simple_hybrid,775,-0.5745,-0.7106,0.1338,0.0394
label_ideology,Llama-3.1-8B-Instruct,bge/twostage,216,-0.6301,-0.6969,0.0914,0.0383
label_ideology,Llama-3.1-8B-Instruct,e5/hyde,775,-0.6197,-0.773,0.1434,0.0527
label_ideology,Llama-3.1-8B-Instruct,e5/simple,774,-0.568,-0.6882,0.1139,0.0239
label_ideology,Llama-3.1-8B-Instruct,e5/twostage,775,-0.5347,-0.6595,0.1119,0.0172
label_ideology,Llama-3.1-8B-Instruct,jina/hyde,775,-0.5332,-0.6416,0.0923,0.0133
label_ideology,Llama-3.1-8B-Instruct,jina/simple,775,-0.5023,-0.6045,0.0877,0.0207
label_ideology,Llama-3.1-8B-Instruct,jina/twostage,673,-0.5059,-0.6066,0.0987,0.0278
label_ideology,Llama-3.1-8B-Instruct,qwen3/hyde,775,-0.6517,-0.8026,0.1628,0.0704
label_ideology,Llama-3.1-8B-Instruct,qwen3/simple,775,-0.6222,-0.7354,0.1462,0.0652
label_ideology,Llama-3.1-8B-Instruct,qwen3/twostage,775,-0.5983,-0.7141,0.1296,0.0526
label_ideology,Ministral-3-14B-Instruct-2512,bge/hyde,773,0.0266,0.149,-0.0382,0.0017
label_ideology,Ministral-3-14B-Instruct-2512,bge/hyde_hybrid,771,0.0399,0.153,-0.0409,-0.0029
label_ideology,Ministral-3-14B-Instruct-2512,bge/simple,772,-0.0255,0.0576,0.0045,0.0302
label_ideology,Ministral-3-14B-Instruct-2512,bge/simple_hybrid,770,0.0056,0.0772,0.0039,0.0327
label_ideology,Ministral-3-14B-Instruct-2512,bge/twostage,770,-0.0164,0.0644,0.0055,0.0447
label_ideology,Ministral-3-14B-Instruct-2512,bge/twostage_hybrid,770,-0.0175,0.0495,0.0101,0.0325
label_ideology,Ministral-3-14B-Instruct-2512,e5/hyde,764,-0.0191,0.0765,-0.0088,0.0197
label_ideology,Ministral-3-14B-Instruct-2512,e5/simple,770,-0.016,0.0506,0.0146,0.0464
label_ideology,Ministral-3-14B-Instruct-2512,e5/twostage,768,-0.0289,0.0308,0.017,0.0473
label_ideology,Ministral-3-14B-Instruct-2512,jina/hyde,773,-0.0057,0.0803,0.0123,0.0663
label_ideology,Ministral-3-14B-Instruct-2512,jina/simple,771,0.0043,0.1007,-0.0028,0.0391
label_ideology,Ministral-3-14B-Instruct-2512,jina/twostage,761,0.0062,0.0892,-0.0027,0.0369
label_ideology,Ministral-3-14B-Instruct-2512,qwen3/hyde,770,0.0364,0.1464,-0.0306,0.0171
label_ideology,Ministral-3-14B-Instruct-2512,qwen3/simple,773,-0.0321,0.0033,0.0311,0.0601
label_ideology,Ministral-3-14B-Instruct-2512,qwen3/twostage,772,-0.0205,0.0492,0.0024,0.0349
label_ideology,Ministral-3-3B-Instruct-2512,bge/hyde,771,-0.1476,-0.2259,-0.0035,0.0284
label_ideology,Ministral-3-3B-Instruct-2512,bge/hyde_hybrid,767,-0.1546,-0.2389,0.0142,0.0315
label_ideology,Ministral-3-3B-Instruct-2512,bge/simple,771,-0.1536,-0.2206,-0.0004,0.0417
label_ideology,Ministral-3-3B-Instruct-2512,bge/simple_hybrid,770,-0.1438,-0.2241,-0.0092,0.0334
label_ideology,Ministral-3-3B-Instruct-2512,bge/twostage,769,-0.1674,-0.2593,0.0403,0.0799
label_ideology,Ministral-3-3B-Instruct-2512,bge/twostage_hybrid,768,-0.0988,-0.1825,-0.0238,0.0243
label_ideology,Ministral-3-3B-Instruct-2512,e5/hyde,765,-0.1345,-0.1819,-0.055,-0.0153
label_ideology,Ministral-3-3B-Instruct-2512,e5/simple,761,-0.146,-0.2064,-0.0255,0.0191
label_ideology,Ministral-3-3B-Instruct-2512,e5/twostage,770,-0.1566,-0.2364,-0.0074,0.0399
label_ideology,Ministral-3-3B-Instruct-2512,jina/hyde,605,-0.075,-0.1298,-0.0624,-0.0099
label_ideology,Ministral-3-3B-Instruct-2512,jina/simple,771,-0.0476,-0.0646,-0.0948,-0.0346
label_ideology,Ministral-3-3B-Instruct-2512,jina/twostage,767,-0.1176,-0.1889,-0.0151,0.0246
label_ideology,Ministral-3-3B-Instruct-2512,qwen3/hyde,768,-0.219,-0.3065,0.0326,0.0685
label_ideology,Ministral-3-3B-Instruct-2512,qwen3/simple,763,-0.1782,-0.2487,-0.0121,0.0271
