Target,Model,Condition,N_samples,MAE,RMSE,Pearson_r,Spearman_rho
label_ideology,Llama-3.1-8B-Instruct,no_rag,775,1.6841,2.315,0.4617,0.4972
label_ideology,Llama-3.1-8B-Instruct,bge/hyde,774,1.1496,1.6877,0.5492,0.5054
label_ideology,Llama-3.1-8B-Instruct,bge/hyde_hybrid,775,1.141,1.676,0.5467,0.496
label_ideology,Llama-3.1-8B-Instruct,bge/simple,775,1.123,1.6536,0.5701,0.5364
label_ideology,Llama-3.1-8B-Instruct,bge/simple_hybrid,775,1.1097,1.6044,0.5955,0.5366
label_ideology,Llama-3.1-8B-Instruct,bge/twostage,216,1.0847,1.6107,0.5418,0.5309
label_ideology,Llama-3.1-8B-Instruct,e5/hyde,775,1.0644,1.542,0.6052,0.5498
label_ideology,Llama-3.1-8B-Instruct,e5/simple,774,1.1168,1.6279,0.5749,0.5205
label_ideology,Llama-3.1-8B-Instruct,e5/twostage,775,1.1494,1.6555,0.5736,0.5144
label_ideology,Llama-3.1-8B-Instruct,jina/hyde,775,1.151,1.6734,0.554,0.5105
label_ideology,Llama-3.1-8B-Instruct,jina/simple,775,1.1818,1.7105,0.5494,0.5178
label_ideology,Llama-3.1-8B-Instruct,jina/twostage,673,1.182,1.7185,0.5558,0.5266
label_ideology,Llama-3.1-8B-Instruct,qwen3/hyde,775,1.0324,1.5124,0.6245,0.5675
label_ideology,Llama-3.1-8B-Instruct,qwen3/simple,775,1.0619,1.5796,0.608,0.5624
label_ideology,Llama-3.1-8B-Instruct,qwen3/twostage,775,1.0858,1.6009,0.5913,0.5497
label_ideology,Llama-3.2-3B-Instruct,no_rag,775,1.7679,2.3422,0.2722,0.1481
label_ideology,Llama-3.2-3B-Instruct,bge/hyde,729,1.8727,2.3289,0.2087,0.065
label_ideology,Llama-3.2-3B-Instruct,bge/hyde_hybrid,729,1.8185,2.2659,0.2293,0.0728
label_ideology,Llama-3.2-3B-Instruct,bge/simple,727,1.8893,2.3461,0.2296,0.0981
label_ideology,Llama-3.2-3B-Instruct,bge/simple_hybrid,708,1.9102,2.3608,0.2656,0.1175
label_ideology,Llama-3.2-3B-Instruct,bge/twostage,729,1.9597,2.4241,0.1852,0.0377
label_ideology,Llama-3.2-3B-Instruct,bge/twostage_hybrid,707,2.0335,2.5014,0.2078,0.0838
label_ideology,Llama-3.2-3B-Instruct,e5/hyde,710,1.9855,2.4546,0.2162,0.0768
label_ideology,Llama-3.2-3B-Instruct,e5/simple,710,1.9527,2.4273,0.2604,0.1214
label_ideology,Llama-3.2-3B-Instruct,e5/twostage,708,1.9936,2.4834,0.2398,0.0908
label_ideology,Llama-3.2-3B-Instruct,jina/hyde,657,1.9409,2.4335,0.2587,0.1025
label_ideology,Llama-3.2-3B-Instruct,jina/simple,646,1.9181,2.4155,0.237,0.0868
label_ideology,Llama-3.2-3B-Instruct,jina/twostage,724,1.9489,2.4379,0.242,0.0962
label_ideology,Llama-3.2-3B-Instruct,qwen3/hyde,719,1.9544,2.4129,0.235,0.1123
label_ideology,Llama-3.2-3B-Instruct,qwen3/simple,724,1.9851,2.4532,0.2357,0.0931
label_ideology,Llama-3.2-3B-Instruct,qwen3/twostage,716,2.0208,2.5002,0.2158,0.0742
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,no_rag,775,0.9057,1.3031,0.7054,0.6379
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,bge/hyde,775,1.2055,1.6562,0.4257,0.412
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,bge/hyde_hybrid,775,1.2098,1.6755,0.4033,0.3999
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,bge/simple,775,1.2271,1.7102,0.3752,0.3684
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,bge/simple_hybrid,775,1.223,1.7033,0.3782,0.3806
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,bge/twostage,774,1.2072,1.6518,0.4335,0.4474
label_ideology,Meta-Llama-3.1-70B-Instruct-FP8,bge/twostage_hybrid,775,1.2324,1.6741,0.4099,0.4299
