Target,Model,Condition,N_samples,MAE,RMSE,Pearson_r,Spearman_rho
label_ideology,Llama-3.1-8B-Instruct,no_rag,775,1.6841,2.315,0.4617,0.4972
label_ideology,Llama-3.1-8B-Instruct,bge/hyde,1266,1.1374,1.6635,0.5555,0.516
label_ideology,Llama-3.1-8B-Instruct,bge/hyde_hybrid,1549,1.1402,1.6673,0.5514,0.5114
label_ideology,Llama-3.1-8B-Instruct,bge/simple,1550,1.1336,1.6633,0.5644,0.5323
label_ideology,Llama-3.1-8B-Instruct,bge/simple_hybrid,1550,1.1111,1.5996,0.6086,0.5557
label_ideology,Llama-3.1-8B-Instruct,bge/twostage,991,1.1115,1.6069,0.5718,0.5357
label_ideology,Llama-3.1-8B-Instruct,bge/twostage_hybrid,774,1.1655,1.6571,0.5782,0.5514
label_ideology,Llama-3.1-8B-Instruct,e5/hyde,775,1.0644,1.542,0.6052,0.5498
label_ideology,Llama-3.1-8B-Instruct,e5/simple,774,1.1168,1.6279,0.5749,0.5205
label_ideology,Llama-3.1-8B-Instruct,e5/twostage,775,1.1494,1.6555,0.5736,0.5144
label_ideology,Llama-3.1-8B-Instruct,jina/hyde,1023,1.1357,1.6614,0.5492,0.5085
label_ideology,Llama-3.1-8B-Instruct,jina/simple,775,1.1818,1.7105,0.5494,0.5178
label_ideology,Llama-3.1-8B-Instruct,jina/twostage,673,1.182,1.7185,0.5558,0.5266
label_ideology,Llama-3.1-8B-Instruct,qwen3/hyde,775,1.0324,1.5124,0.6245,0.5675
label_ideology,Llama-3.1-8B-Instruct,qwen3/simple,775,1.0619,1.5796,0.608,0.5624
label_ideology,Llama-3.1-8B-Instruct,qwen3/twostage,775,1.0858,1.6009,0.5913,0.5497
label_ideology,Ministral-3-14B-Instruct-2512,no_rag,775,0.9484,1.312,0.6655,0.5695
label_ideology,Ministral-3-14B-Instruct-2512,bge/hyde,773,0.9749,1.4615,0.6274,0.5708
label_ideology,Ministral-3-14B-Instruct-2512,bge/hyde_hybrid,771,0.987,1.4654,0.6253,0.5664
label_ideology,Ministral-3-14B-Instruct-2512,bge/simple,772,0.9237,1.3712,0.6682,0.5995
label_ideology,Ministral-3-14B-Instruct-2512,bge/simple_hybrid,770,0.9531,1.3845,0.6726,0.6036
label_ideology,Ministral-3-14B-Instruct-2512,bge/twostage,770,0.9338,1.3792,0.6714,0.6165
label_ideology,Ministral-3-14B-Instruct-2512,bge/twostage_hybrid,770,0.9318,1.3638,0.6762,0.6017
label_ideology,Ministral-3-14B-Instruct-2512,e5/hyde,764,0.9246,1.3821,0.6615,0.5934
label_ideology,Ministral-3-14B-Instruct-2512,e5/simple,770,0.9335,1.3642,0.6805,0.6167
label_ideology,Ministral-3-14B-Instruct-2512,e5/twostage,768,0.9234,1.3474,0.6826,0.6168
label_ideology,Ministral-3-14B-Instruct-2512,jina/hyde,773,0.94,1.3893,0.679,0.6374
label_ideology,Ministral-3-14B-Instruct-2512,jina/simple,771,0.9551,1.4156,0.6588,0.6041
